Device Name,Z-Wave/ZigBee,Voice Assistant Compatibility,Upfront Costs,Professional Installation Required,Power Outage Backup,Monthly Fees,Monitoring Contract Required,IFTTT Support,Environmental Sensors,Cellular Backup
ADT Pulse,Yes,Amazon Alexa,Start at $49,Yes,Yes,Start at $28.99,Yes,No,Yes,Yes
Vivint Smart Home,Yes,"Amazon Alexa, Google Assistant",Start at $99,Yes,Yes,Start at $39.99,No,No,Yes,Yes
SimpliSafe Home Security System,No,Amazon Alexa,Start at $229,No,Yes,Start at $14.99,No,No,Yes,Yes
Ring Alarm Security Kit,Yes,Amazon Alexa,Start at $199,No,Yes,Start at $10,No,No,Yes,Yes
Blue by ADT Home Security System,Yes,"Amazon Alexa, Google Assistant",Start at $149.99,No,Yes,Start at $19.99,No,Yes,Yes,Yes
FrontPoint Safe Home,Yes,"Amazon Alexa, Google Assistant",Start at $99,No,Yes,Start at $44.99,No,No,Yes,Yes
Honeywell Smart Home Security Starter Kit,Yes,"Amazon Alexa, Google Assistant",Start at $449,No,Yes,Start at $4.99,No,Yes,Yes,No
Wyze Sense Starter Kit,No,Amazon Alexa,Start at $19.99,No,No,None,No,Yes,No,No
Abode iota All-In-One Security Kit,Yes,"Amazon Alexa, Google Assistant",Start at $299,No,Yes,Start at $8,No,Yes,Yes,Yes
Nest Secure,No,Google Assistant,$399 as tested,No,Yes,Start at $19,No,No,No,Yes